t,bruit_blanc,persistante,saisonniere,tendance
1,0.4967141530112327,0.0,0.49512652478938474,0.3018403944358818
2,-0.13826430117118466,0.3577873603482833,-0.13777106351774698,0.6355908933162816
3,0.6476885381006925,0.847014414646861,0.6262753946029295,-0.6777322593421005
4,1.5230298564080254,1.760662774892766,1.0020974798872733,0.7856847360845282
5,-0.23415337472333597,2.4623322719491156,0.8848176412903356,1.2045102870439606
6,-0.23413695694918055,0.5921964496022016,0.3199738114083025,0.4807479225789607
7,1.5792128155073915,-0.46406788023336143,0.24913997293899962,1.6814366500464528
8,0.7674347291529088,0.14378096302197063,-0.9270481717530374,-0.4090313592828585
9,-0.4694743859349521,0.6288107213297853,-0.9229771977929557,-0.7557237626491337
10,0.5425600435859647,1.0180962633698762,-0.9518817473152404,-1.1529761991234229
11,-0.46341769281246226,4.667208501350622,-0.660249870160939,1.4968354491913465
12,-0.46572975357025687,4.304657311773664,-0.21535404876444453,0.8534925250832461
13,0.24196227156603412,4.57929148959953,-0.4498568367351479,0.3155322632716359
14,-1.913280244657798,4.617434955172827,-0.11364566829424894,0.6139749010558563
15,-1.7249178325130328,4.34533921544406,1.377096132543842,-0.48039123783870125
16,-0.5622875292409727,3.1610021277149025,1.1329256047918366,2.406601583693461
17,-1.0128311203344238,3.2877709226651897,0.5666307891618176,0.583376945580182
18,0.3142473325952739,1.85739152359458,1.120460790209009,0.5975158356839143
19,-0.9080240755212109,1.2490946121356552,0.04626985371714384,1.1206132991189537
20,-1.4123037013352915,0.5139121418794208,-0.028281126374468557,0.9548073853893706
21,1.465648768921554,0.4930038528898592,-0.8390180112203951,0.7791072194233051
22,-0.22577630048653566,2.7090616489853963,-0.17570083004720516,-0.0023795643562495306
23,0.06752820468792384,0.29998412659656903,-0.1638890668071573,1.0371746857087965
24,-1.4247481862134568,0.9262474916517687,-0.5995856593916309,2.195619597180027
25,-0.5443827245251827,-0.8717178778682366,0.3886283803817417,1.7963360369239822
26,0.11092258970986608,-1.1693061680840229,0.7581503798340596,2.0245493013115174
27,-1.1509935774223028,0.15350566250014774,1.413478026797378,0.3710274588550519
28,0.37569801834567196,0.18708454909558098,0.6140306157679583,0.018316143793135176
29,-0.600638689918805,-0.9280771386528414,1.140445987783815,0.7393704639202814
30,-0.2916937497932768,-1.4577654201822412,0.9233697947398352,0.9145799298309557
31,-0.6017066122293969,-0.48661458721111717,-0.7034957945692433,1.7753532147767588
32,1.8522781845089378,-1.1196583014860304,-0.973303405066309,-0.42397170377185556
33,-0.013497224737933921,-0.6792680516068496,-1.681718274888478,2.1836402555684913
34,-1.0577109289559004,-0.49784260138166586,-1.107762733777823,0.8635936811368085
35,0.822544912103189,-1.0498744287111497,-0.5790085014660534,0.6784951440420639
36,-1.2208436499710222,1.3040445463564059,0.10094282083841122,0.24031649979186598
37,0.2088635950047554,1.677154659403136,0.02963791216790934,-0.24388533749261554
38,-1.9596701238797756,-0.6834188591350983,1.1514462182285157,1.7685364671695316
39,-1.3281860488984305,-0.360280772538651,0.3139848204984811,1.198654373750723
40,0.19686123586912352,-0.9500110827993088,0.3186470242579381,0.13803128020715683
41,0.7384665799954104,0.09242446855677688,0.8438063242257909,0.16393698234910703
42,0.1713682811899705,-0.7185811635872792,0.6536261795757262,0.9613722405678974
43,-0.11564828238824053,-0.6896013723367224,-0.013077899237636388,2.5952172202315147
44,-0.3011036955892888,-0.04669381888892077,-1.3269768400159494,1.0823269189091163
45,-1.4785219903674274,0.8284001390589849,-0.9016734195895529,0.11748563750551488
46,-0.7198442083947086,-0.5375762958085882,-1.5217878002019414,1.1534055487312445
47,-0.4606387709597875,-0.7645622724878189,-0.5981563842524249,1.1618211442018636
48,1.0571222262189157,-1.0865951291512115,-0.353360701561261,-0.7475093143532574
49,0.3436182895684614,-1.5226053358946812,-0.3759519145309431,1.3965641067857502
50,-1.763040155362734,0.5473699715653519,0.2944532330653212,1.2852523758330576
51,0.324083969394795,0.8428776882132372,0.44233999502885873,2.056965091850735
52,-0.38508228041631654,-0.5865818037644555,0.9749283610907312,3.0091648759562766
53,-0.6769220003059587,0.4485965040432117,1.248082331984934,2.461252023638206
54,0.6116762888408679,2.4810334002472025,0.10570958146578291,1.3748890475561355
55,1.030999522495951,3.017291980748909,0.2016186062071389,0.7347792730066636
56,0.9312801191161986,0.8944636186451138,-0.7121030473489779,3.7086878425998884
57,-0.8392175232226385,0.23133682204983969,-1.1831745366893751,1.7273747472115906
58,-0.3092123758512146,1.4519806068264944,-1.0428121439818232,1.721143433530357
59,0.33126343140356396,0.4539150198424149,-1.2801223327521882,1.7206999303119974
60,0.9755451271223592,0.8069514440201604,-0.7214597221388734,1.928467808614284
61,-0.47917423784528995,1.420195208645465,-0.4791511570355442,1.6845116704608458
62,-0.18565897666381712,0.20922569533828905,1.2858900531665542,1.3710703944958107
63,-1.1063349740060282,0.10785520020883117,0.8801308245731289,1.4225128470076862
64,-1.1962066240806708,-3.1549831799020076,0.7201097968029657,1.8637973838272013
65,0.812525822394198,-3.548374185255896,0.9516173680781292,1.485260183092988
66,1.356240028570823,-3.091267499597877,0.45506878012366875,1.3797233738582686
67,-0.07201012158033385,-3.7207971816431513,-0.0883878398132914,2.0651441821535172
68,1.0035328978920242,-1.3442264413828862,-0.2543333199826282,1.8060182260633155
69,0.36163602504763415,-2.5055225310669416,-0.5630223197655171,3.243194390866151
70,-0.6451197546051243,-2.444462511550537,-1.212200459044211,-0.05077584671440993
71,0.36139560550841393,-1.8248294319543383,-1.0963527000423108,2.9732054815379696
72,1.5380365664659692,-0.01859025649735524,-0.6100206788606553,3.126868153998103
73,-0.03582603910995154,-1.4507343563773236,-0.9207684658942354,0.5012878140734804
74,1.5646436558140062,0.002576267053100656,-0.10607642487942581,1.915849924735721
